MC	<p>000. 7864</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">C</span></strong> &rarr; <strong><span style="color: DarkGreen">D</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">D</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>032. b59c</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">K</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">L</span></strong> &rarr; <strong><span style="color: DarkMagenta">M</span></strong> &rarr; <strong><span style="color: DarkViolet">N</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">N</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">K</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">L</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">N</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>033. 721d</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">L</span></strong> &rarr; <strong><span style="color: DarkMagenta">M</span></strong> &rarr; <strong><span style="color: DarkViolet">N</span></strong> &rarr; <strong><span style="color: DarkRed">O</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">O</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">L</span></strong> &rarr; <strong><span style="color: DarkMagenta">M</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">O</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>034. d052</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">M</span></strong> &rarr; <strong><span style="color: DarkViolet">N</span></strong> &rarr; <strong><span style="color: DarkRed">O</span></strong> &rarr; <strong><span style="color: DarkOrange">P</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">P</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">M</span></strong> &rarr; <strong><span style="color: DarkViolet">N</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">P</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>035. 94a7</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">N</span></strong> &rarr; <strong><span style="color: DarkRed">O</span></strong> &rarr; <strong><span style="color: DarkOrange">P</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">Q</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">Q</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">N</span></strong> &rarr; <strong><span style="color: DarkRed">O</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">Q</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  activator&nbsp; 	Correct	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>036. 0fc4</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">O</span></strong> &rarr; <strong><span style="color: DarkOrange">P</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">Q</span></strong> &rarr; <strong><span style="color: DarkGreen">R</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">R</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">O</span></strong> &rarr; <strong><span style="color: DarkOrange">P</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">R</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>037. 4bca</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">P</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">Q</span></strong> &rarr; <strong><span style="color: DarkGreen">R</span></strong> &rarr; <strong><span style="color: DarkCyan">S</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">S</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">P</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">Q</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">S</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>038. 3008</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">Q</span></strong> &rarr; <strong><span style="color: DarkGreen">R</span></strong> &rarr; <strong><span style="color: DarkCyan">S</span></strong> &rarr; <strong><span style="color: DarkBlue">T</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">T</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">Q</span></strong> &rarr; <strong><span style="color: DarkGreen">R</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">T</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Correct	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>039. b8ca</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">R</span></strong> &rarr; <strong><span style="color: DarkCyan">S</span></strong> &rarr; <strong><span style="color: DarkBlue">T</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">U</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">U</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">R</span></strong> &rarr; <strong><span style="color: DarkCyan">S</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">U</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>040. fd84</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">S</span></strong> &rarr; <strong><span style="color: DarkBlue">T</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">U</span></strong> &rarr; <strong><span style="color: DarkMagenta">V</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">V</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">S</span></strong> &rarr; <strong><span style="color: DarkBlue">T</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">V</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>041. 9593</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">T</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">U</span></strong> &rarr; <strong><span style="color: DarkMagenta">V</span></strong> &rarr; <strong><span style="color: DarkViolet">W</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">W</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">T</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">U</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">W</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>042. edc8</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">U</span></strong> &rarr; <strong><span style="color: DarkMagenta">V</span></strong> &rarr; <strong><span style="color: DarkViolet">W</span></strong> &rarr; <strong><span style="color: DarkRed">X</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">X</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">U</span></strong> &rarr; <strong><span style="color: DarkMagenta">V</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">X</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>043. d900</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">V</span></strong> &rarr; <strong><span style="color: DarkViolet">W</span></strong> &rarr; <strong><span style="color: DarkRed">X</span></strong> &rarr; <strong><span style="color: DarkOrange">Y</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">Y</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">V</span></strong> &rarr; <strong><span style="color: DarkViolet">W</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">Y</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>044. f121</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">A</span></strong> &rarr; <strong><span style="color: DarkRed">B</span></strong> &rarr; <strong><span style="color: DarkOrange">C</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">D</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">A</span></strong> &rarr; <strong><span style="color: DarkRed">B</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">D</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>045. c5fd</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">B</span></strong> &rarr; <strong><span style="color: DarkOrange">C</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">D</span></strong> &rarr; <strong><span style="color: DarkGreen">E</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">E</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">B</span></strong> &rarr; <strong><span style="color: DarkOrange">C</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">E</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
MC	<p>046. e4c9</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">C</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">D</span></strong> &rarr; <strong><span style="color: DarkGreen">E</span></strong> &rarr; <strong><span style="color: DarkCyan">F</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">F</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">C</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">D</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">F</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Correct	B.  activator&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>047. 70d6</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">D</span></strong> &rarr; <strong><span style="color: DarkGreen">E</span></strong> &rarr; <strong><span style="color: DarkCyan">F</span></strong> &rarr; <strong><span style="color: DarkBlue">G</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">G</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">D</span></strong> &rarr; <strong><span style="color: DarkGreen">E</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">G</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>048. fd0b</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">E</span></strong> &rarr; <strong><span style="color: DarkCyan">F</span></strong> &rarr; <strong><span style="color: DarkBlue">G</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">H</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">H</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">E</span></strong> &rarr; <strong><span style="color: DarkCyan">F</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">H</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>049. 7b16</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">F</span></strong> &rarr; <strong><span style="color: DarkBlue">G</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">H</span></strong> &rarr; <strong><span style="color: DarkMagenta">I</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">I</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">F</span></strong> &rarr; <strong><span style="color: DarkBlue">G</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">I</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  activator&nbsp; 	Incorrect
MC	<p>050. ad49</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">G</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">H</span></strong> &rarr; <strong><span style="color: DarkMagenta">I</span></strong> &rarr; <strong><span style="color: DarkViolet">J</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">J</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">G</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">H</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">J</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>051. dfd9</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">H</span></strong> &rarr; <strong><span style="color: DarkMagenta">I</span></strong> &rarr; <strong><span style="color: DarkViolet">J</span></strong> &rarr; <strong><span style="color: DarkRed">K</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">K</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">H</span></strong> &rarr; <strong><span style="color: DarkMagenta">I</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">K</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Correct	B.  activator&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>052. 53cb</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">I</span></strong> &rarr; <strong><span style="color: DarkViolet">J</span></strong> &rarr; <strong><span style="color: DarkRed">K</span></strong> &rarr; <strong><span style="color: DarkOrange">L</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">L</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">I</span></strong> &rarr; <strong><span style="color: DarkViolet">J</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">L</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  activator&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>053. 5abb</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">J</span></strong> &rarr; <strong><span style="color: DarkRed">K</span></strong> &rarr; <strong><span style="color: DarkOrange">L</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">M</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">M</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">J</span></strong> &rarr; <strong><span style="color: DarkRed">K</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">M</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>054. 604c</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">K</span></strong> &rarr; <strong><span style="color: DarkOrange">L</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">M</span></strong> &rarr; <strong><span style="color: DarkGreen">N</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">N</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">K</span></strong> &rarr; <strong><span style="color: DarkOrange">L</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">N</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>055. c420</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">L</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">M</span></strong> &rarr; <strong><span style="color: DarkGreen">N</span></strong> &rarr; <strong><span style="color: DarkCyan">O</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">O</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">L</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">M</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">O</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  activator&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>056. a217</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">M</span></strong> &rarr; <strong><span style="color: DarkGreen">N</span></strong> &rarr; <strong><span style="color: DarkCyan">O</span></strong> &rarr; <strong><span style="color: DarkBlue">P</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">P</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">M</span></strong> &rarr; <strong><span style="color: DarkGreen">N</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">P</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>057. 0aa2</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">N</span></strong> &rarr; <strong><span style="color: DarkCyan">O</span></strong> &rarr; <strong><span style="color: DarkBlue">P</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">Q</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">Q</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">N</span></strong> &rarr; <strong><span style="color: DarkCyan">O</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">Q</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>058. f617</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">O</span></strong> &rarr; <strong><span style="color: DarkBlue">P</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">Q</span></strong> &rarr; <strong><span style="color: DarkMagenta">R</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">R</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">O</span></strong> &rarr; <strong><span style="color: DarkBlue">P</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">R</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  activator&nbsp; 	Incorrect
MC	<p>059. 42a8</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">P</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">Q</span></strong> &rarr; <strong><span style="color: DarkMagenta">R</span></strong> &rarr; <strong><span style="color: DarkViolet">S</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">S</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">P</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">Q</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">S</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>060. 4513</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">Q</span></strong> &rarr; <strong><span style="color: DarkMagenta">R</span></strong> &rarr; <strong><span style="color: DarkViolet">S</span></strong> &rarr; <strong><span style="color: DarkRed">T</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">T</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">Q</span></strong> &rarr; <strong><span style="color: DarkMagenta">R</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">T</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  competitive inhibitor&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>061. 9d40</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">R</span></strong> &rarr; <strong><span style="color: DarkViolet">S</span></strong> &rarr; <strong><span style="color: DarkRed">T</span></strong> &rarr; <strong><span style="color: DarkOrange">U</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">U</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">R</span></strong> &rarr; <strong><span style="color: DarkViolet">S</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">U</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>062. 0357</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">S</span></strong> &rarr; <strong><span style="color: DarkRed">T</span></strong> &rarr; <strong><span style="color: DarkOrange">U</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">V</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">V</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">S</span></strong> &rarr; <strong><span style="color: DarkRed">T</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">V</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Correct
MC	<p>063. 2636</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">T</span></strong> &rarr; <strong><span style="color: DarkOrange">U</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">V</span></strong> &rarr; <strong><span style="color: DarkGreen">W</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">W</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">T</span></strong> &rarr; <strong><span style="color: DarkOrange">U</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">W</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Correct
