MAT	<p>001. 5806</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	also know as resistant starch, because it has no branches and it is resistant to digestion&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	branched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #843232;">animal</span> polysaccharide that contains &beta;-glycosidic linkages&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> polysaccharide that contains &beta;-glycosidic linkages&nbsp;
MAT	<p>029. 1c72</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	also know as resistant starch, because it has no branches and it is resistant to digestion&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>030. 6679</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> polysaccharide that contains &beta;-glycosidic linkages&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	<span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	branched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>031. 16bb</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #843232;">animal</span> polysaccharide that contains &beta;-glycosidic linkages&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;
MAT	<p>032. 30f2</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in arthropods and fungi&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	<span style="color: #843232;">animal</span> polysaccharide that contains &alpha;-glycosidic linkages&nbsp;
MAT	<p>033. f3a8</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	moderately branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	<span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> polysaccharide that contains &beta;-glycosidic linkages&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	major <span style="color: #AA693A;">structural</span> component of arthopod (e.g., insects) exoskeletons&nbsp;
MAT	<p>034. 7b77</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	also know as resistant starch, because it has no branches and it is resistant to digestion&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	branched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>035. dc35</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	major <span style="color: #AA693A;">structural</span> component of <span style="color: #b45918;">cell walls</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	<span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #843232;">animals</span>&nbsp;
MAT	<p>036. 7f36</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched polymer of &alpha;-linked glucose units found in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in <span style="color: #5A8432;">plant</span> <span style="color: #b45918;">cell walls</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>037. 381b</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched polymer of &alpha;-linked glucose units found in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	major <span style="color: #AA693A;">structural</span> component of arthopod (e.g., insects) exoskeletons&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>038. 36b6</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	moderately branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;
MAT	<p>039. 5983</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	moderately branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	<span style="color: #843232;">animal</span> polysaccharide that contains &alpha;-glycosidic linkages&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	linear chain of glucose with &alpha;-glycosidic linkages and no branches&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in some <span style="color: #843232;">animals</span>&nbsp;
MAT	<p>040. 14f1</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	linear chain of glucose with &alpha;-glycosidic linkages and no branches&nbsp;
MAT	<p>041. a24d</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	major <span style="color: #AA693A;">structural</span> component of arthopod (e.g., insects) exoskeletons&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	branched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched polymer of &alpha;-linked glucose units found in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>042. 100c</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	highly branched polymer of &alpha;-linked glucose units found in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;
MAT	<p>043. e995</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in <span style="color: #5A8432;">plant</span> <span style="color: #b45918;">cell walls</span>&nbsp;
MAT	<p>044. bad2</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in <span style="color: #5A8432;">plant</span> <span style="color: #b45918;">cell walls</span>&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	also know as resistant starch, because it has no branches and it is resistant to digestion&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by some <span style="color: #843232;">animals</span>&nbsp;
MAT	<p>045. 9811</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched polymer of &alpha;-linked glucose units found in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in <span style="color: #5A8432;">plant</span> <span style="color: #b45918;">cell walls</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in arthropods and fungi&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	moderately branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>046. 62e9</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	linear chain of glucose with &alpha;-glycosidic linkages and no branches&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> polysaccharide that contains &beta;-glycosidic linkages&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	branched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>047. 914e</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	linear chain of glucose with &alpha;-glycosidic linkages and no branches&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	major <span style="color: #AA693A;">structural</span> component of <span style="color: #b45918;">cell walls</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in arthropods and fungi&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages&nbsp;
MAT	<p>048. 69b2</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	moderately branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched polymer of &alpha;-linked glucose units found in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #843232;">animal</span> polysaccharide that contains &beta;-glycosidic linkages&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> material in <span style="color: #5A8432;">plant</span> <span style="color: #b45918;">cell walls</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	linear chain of glucose with &alpha;-glycosidic linkages and no branches&nbsp;
MAT	<p>049. 3e18</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	glucose <span style="color: #693AAA;">storage</span> found in skeleton muscle and liver cells&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in some <span style="color: #843232;">animals</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	also know as resistant starch, because it has no branches and it is resistant to digestion&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	polymer of &beta;-linked glucose units found in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	highly branched polymer of &alpha;-linked glucose units found in <span style="color: #5A8432;">plants</span>&nbsp;
MAT	<p>050. 520f</p> <p>Match the each of the following polysaccharides with their corresponding description.</p><p><i>Note:</i> all choices will be used exacly once</p>	<span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp;	highly branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #843232;">animals</span>&nbsp;	<span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp;	major <span style="color: #AA693A;">structural</span> component of <span style="color: #b45918;">cell walls</span>&nbsp;	<span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp;	also know as resistant starch, because it has no branches and it is resistant to digestion&nbsp;	<span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp;	moderately branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>&nbsp;	<span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp;	<span style="color: #AA693A;">structural</span> form of glucose in some <span style="color: #843232;">animals</span>&nbsp;
