MC	<p>001. 0669</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> situated so that one arm is somewhat shorter than the other'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Correct	D. Acrocentric&nbsp; 	Incorrect
MC	<p>004. 93fc</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a slight asymmetry in the length of the two <span style="color: #793AAA;">chromosome</span> arms'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Correct	D. Acrocentric&nbsp; 	Incorrect
MC	<p>004. 93fc</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a slight asymmetry in the length of the two <span style="color: #793AAA;">chromosome</span> arms'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Acentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Incorrect
MC	<p>004. 93fc</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a slight asymmetry in the length of the two <span style="color: #793AAA;">chromosome</span> arms'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Acrocentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Incorrect
MC	<p>004. 93fc</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a slight asymmetry in the length of the two <span style="color: #793AAA;">chromosome</span> arms'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Dicentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Incorrect
MC	<p>004. bc36</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a <span style="color: #793AAA;">chromosome</span> with formed through the fusion of two <span style="color: #793AAA;">chromosome</span> segments, each with a <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Correct	D. Submetacentric&nbsp; 	Incorrect
MC	<p>004. bc6e</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the short arm of the <span style="color: #793AAA;">chromosome</span> is so short that it is hard to observe'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Correct	D. Dicentric&nbsp; 	Incorrect
MC	<p>004. bd14</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> slightly offset from the center'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Incorrect	D. Submetacentric&nbsp; 	Correct
MC	<p>004. bd14</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> slightly offset from the center'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Acrocentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Incorrect
MC	<p>004. bf38</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles a perfect letter X during metaphase'</strong>.</p>	A. Metacentric&nbsp; 	Correct	B. Acentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Incorrect
MC	<p>004. d84c</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'genomic rearrangements placing two <span style="color: #b45918;"> centromeres</span> on the same <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Submetacentric&nbsp; 	Incorrect	B. Dicentric&nbsp; 	Correct	C. Metacentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Incorrect
MC	<p>004. e0f8</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter J after separation'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Dicentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Submetacentric&nbsp; 	Correct
MC	<p>005. 411f</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an abnormal <span style="color: #793AAA;">chromosome</span> that has two <span style="color: #b45918;"> centromeres</span> that often appear in cancer cells'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Dicentric&nbsp; 	Correct	C. Submetacentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Incorrect
MC	<p>005. 411f</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an abnormal <span style="color: #793AAA;">chromosome</span> that has two <span style="color: #b45918;"> centromeres</span> that often appear in cancer cells'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Correct
MC	<p>005. 4330</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> with no <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Correct	D. Submetacentric&nbsp; 	Incorrect
MC	<p>005. 4330</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> with no <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Correct	D. Acrocentric&nbsp; 	Incorrect
MC	<p>005. 490d</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an abnormal <span style="color: #793AAA;">chromosome</span> that lacks a <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Acentric&nbsp; 	Correct	B. Dicentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Incorrect
MC	<p>005. 490d</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an abnormal <span style="color: #793AAA;">chromosome</span> that lacks a <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Acentric&nbsp; 	Correct	B. Metacentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Submetacentric&nbsp; 	Incorrect
MC	<p>005. 490d</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an abnormal <span style="color: #793AAA;">chromosome</span> that lacks a <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Correct
MC	<p>005. 59b2</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> lacking spindle fiber attachment'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Correct
MC	<p>005. 66bd</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter I after separation'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Correct	C. Submetacentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Incorrect
MC	<p>005. 7e4f</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is located very close to one end of the <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Correct
MC	<p>005. 7e4f</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is located very close to one end of the <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Correct
MC	<p>005. 93fc</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a slight asymmetry in the length of the two <span style="color: #793AAA;">chromosome</span> arms'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Metacentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Incorrect
MC	<p>005. b080</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is closer to the end rather than the center'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Correct
MC	<p>005. bd07</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is very offset from the center leading to a very short arm'</strong>.</p>	A. Acrocentric&nbsp; 	Correct	B. Acentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Incorrect
MC	<p>005. d84c</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'genomic rearrangements placing two <span style="color: #b45918;"> centromeres</span> on the same <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Acrocentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Correct	D. Metacentric&nbsp; 	Incorrect
MC	<p>005. d84c</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'genomic rearrangements placing two <span style="color: #b45918;"> centromeres</span> on the same <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Submetacentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Correct
MC	<p>005. e0f8</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter J after separation'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Dicentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Correct	D. Metacentric&nbsp; 	Incorrect
